text,sentiment
 Why not ? ,neutral
I get angry when people disbelieve me or misunderstand me.,anger
" No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! ",anger
"That's unfair , Mom . ",sadness
When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words.,sadness
When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.,fear
When I heard that I had achieved a place in form I.,joy
 I know ! Well ... he said I ’ m not pregnant . I ’ m sorry if I got you all worked up over nothing . I want you to know that I didn ’ t do it on purpose ... ,neutral
Listening to horrot stories at night.,fear
"My father had bought too many goods for his shop, there was not enough space to store them.",anger
Once my father slapped my mother for a small quarrel.,anger
 How could I feel easy ? I ’ m really pissed . ,anger
Accountants inevitably greeted the court 's finding with some disquiet . ,fear
Lost a friend.,sadness
 I ’ m so jealous . ,neutral
" You 're not  vexed , are you ?  he asked incredulously . ",anger
"I had a very close friend who went to Canada after her F.B, his  departure was unavoidable.  When he came back during the Summer holidays I was very happy as nothing had changed between us.",joy
" Oh , yes . I like playing basketball . ",neutral
I had this feeling when my parents distroyed a relationship with a boy because they thought he was bad and irresponsible.,sadness
Her head turned restlessly on the pillow as she strove to distance herself from the increasingly excited voice of the commentator and the air-splitting whine of the high-revving engines . ,joy
 Yes . ,neutral
"But he was confronted by an ecstatic welcome from his mother , who was waiting for him on the doorstep . ",joy
The last time I was face to face with with the monstrous dog which lives in my street.,fear
He was so miserable . ,sadness
I was attacked by a man at a bus stop at night.,fear
I arrived in Vienna in the middle of the night. I asked for some silly information - as I realized myself afterwards - and the inquiry  clerk reacted in a very arrogant manner.,anger
 Bye . ,joy
I came out of the house at 7:20 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire.,anger
When I got my results ( I had made it to the second year ).,joy
"When I was a child, I had a nightmare. At that time, I was not yet able to tell anybody about it, so I was very frightened. I could not explain myself all that and I had to deal with it by myself.",fear
On the edge of slipping and winning... ,fear
"Livid with rage , he grabs their cameras and rips the film from them , tearing it to shreds and throwing it in the fire . ",anger
"After completing high-school, I wanted to go abroad for a holiday.  I had never been abroad before and neither had I taken a holiday for a long time.  When finally my parents agreed and we got the airplane tickets I was over joyed.",joy
 I messed up . ,sadness
Are you OK ? ,neutral
"I went to the ballet lessons with a little friend in the dark. On a very quiet place a boy approached us from behind and asked at what time the lesson would be finished. I gave him an avoiding answer, he took me up and wanted to run away with me.",fear
When my husband and I decided to take a few days holiday after a particularly trying period.,joy
 How am I going to face the fellows in our office ? They thought I would be promoted . They must be waiting for my good news . ,sadness
 They said that they did . I've been so busy ... ,sadness
I reachad home to find that my baby had not been bathed and fed.,anger
"An uncle of mine who just retired, having worked hard all his life, got a cerebral hemorrhage.",sadness
"My mother was ill and asked me to prpare our lunch. I went to do it, and while I was working, she stayed behind me telling what I had, or not to do. I asked her to stop meddling, and to go to bed. When I went to ask for help to my sister, my mother said that I was proud, that I asked for help only when I wanted and that I wasn't able to cook by myself.",anger
" Yes , it is . The sun is shining . There is no wind , only a pleasant breeze . ",joy
As a child (i.e. 5-7) hiking in reasonably rugged bush and becoming lost for a duration of 5-7 hours.,fear
 I had a terrible quarrel with my neighbor yesterday . ,sadness
To his own surprise all his anger against Edouard had evaporated . ,anger
"When I was a student at the Institute doing my M.Phil degree, one of my professors called me before the convocation and told me \You have got the gold-medal (first rank) in the university and tomorrow you will be on T.V\"".""",joy
I felt very angry after one driver had run over my beloved niece.,anger
 Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . ,neutral
I'm so scared! Is this really how life forces certain circumstances on people? It's so hard. #confused #faith,fear
 Don't tell me you have a record player ! ,joy
"Breakfast was quite a social affair as we were frequently visited by new found friends in the shape of two fat and very vocal geese , a young swan and a bevy of excited ducks . ",joy
"If these  movements mean nothing, why do police raid them in the middle of the night and try to censor press in the process? ",fear
"` I 'm sad that it folded , but it 's come at a good time , "" she tells me . ",sadness
"How do you do , Prof.Smith . ",neutral
The day I encountered a queer mamba face to face in a chunk of leaves behind our house.,fear
Market Report : Interest rate fears spread despondency ,sadness
The price was recognised as much too low and many insurers became worried at the apparent undervaluation of their organisations . ,fear
"That evening she felt no nervousness at all , just excitement , controlled excitement . ",joy
"At the hardware store, trying to convert Imperial to Metric measurements, I made a mistake, and didn't buy enough tiles for the bathroom. I was angry at myself, because I hope to be a Maths teacher.",anger
" There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . ",anger
I had studied for almost one week for my physics-examination. With difficulty I passed the exam. I was angry about the teacher and also about myself because I had not remembered enough during the examn and because the time that I spent studying was wasted.,anger
Found out my wife (girl-friend?) pregnant.,joy
 See you . ,joy
My poor mother was grief-stricken and all alone . ,sadness
At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.,sadness
When my sister came home late one day and thus disobeyed my parents.,anger
 Good . ,neutral
When my grandmother died very suddenly without warning.,sadness
 I'm honored to know you . ,joy
 You should've been done already . ,anger
 Thanks . ,neutral
"And then , unable to be cross with him for long , you shift your feelings over to the critic . ",anger
"A son should be concerned for his father 's health . "" ",fear
"Frank ’ s getting married , do you believe this ? ",neutral
When I am with friends and I do what pleases me this often happenes.,joy
Excuse me.Where do I register ? ,neutral
"In fact they encouraged us most warmly , and we shared the general mood of elation at the overall success of the 1974 submission . ",joy
George Grindal was pleased that he could turn to the bedside cabinet and take up the feeding glass containing orange juice . ,joy
" You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball . ",neutral
 No . ,neutral
 What's wrong with heading out with Mark for vacation ? ,anger
When the relationship with my girlfriend broke up.,sadness
How time flies ! ,joy
"With a grimace , Donal murmured gloomily , ` He wasn't exactly ecstatic at my explanation . "" ",joy
 Good idea . Thanks a billion . ,joy
" nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close . ",neutral
Good luck on your test tomorrow . We'll be crossing our fingers for you ! ,joy
When I learned that several people had died in the street due to  the cold weather.,anger
"Wycombe were beaten by Bob Taylor 's 82nd-minute winner , and their disconsolate boss Martin O'Neill said : ` I was actually looking forward to extra-time because I was so sure we would win . ",sadness
"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . ",sadness
 How so ? ,neutral
My boy-friend came home late one night without having told me about it before.,anger
Richard Nixon repeatedly expressed his exasperation at having to work with an unresponsive bureaucracy . ,anger
"Having already paid for my return ticket I was cross at having to buy another one , and even more upset at having to pay extra for the one-way ticket and convert sterling at an unfavourable rate . ",anger
The Spirit of causes disease.,fear
Franco became very alarmed at this and told him to put his money away immediately . ,fear
"In the traffic with a car, I nearly got crushed between a bus and a tram.  The attention of other drivers saved me at the last moment.",fear
" I'm sorry , I haven't decided yet . Do you mind giving me a couple of minutes ? ",sadness
 I'll beat him . ,anger
 She's 42 . ,neutral
" OK , Mum . I'll invite my friends home . ",joy
 I'm not . ,neutral
When I passed the B.A exams with first class results.,joy
Despite our good performance and excellent results the management refused to meet our demands.,anger
This feeling I sensed quite recently. It was arisen by the terrific thought that I might lose the man I loved !,fear
"A certain boy came into my room and started telling me that I was not pretty, that I had no manners and that I should learn some.  I had just come to campus and he was in fourth year.",anger
" Well , I heard David has been fired . ",neutral
 So Baltimore is winning ? ,neutral
"The girl was glued to the spot , terror-struck , pop-eyed , quivering , knowing for certain that the Day of Judgment had come for her at last . ",fear
Discussing psychology with my friends before the lecture.,joy
Excuse me ! I don't have time to waste . I've been here almost one full hour ! ,anger
There is only one thing that makes a dream impossible to achieve: the of #failure. Basically I'm saying focus on getting ur mind right,fear
"` Good heavens , no , lady "" came the indignant reply . ",anger
Every year during carnival I am very joyful I have an intense feeling of happiness then.,joy
"Can't go to bed .. I keep looking at the window hoping that my car won't be robbed& , #vacation",fear
 Frightened ? You must be joking . ,fear
" I would love to be surrounded by hills and streams . They ’ re so much better to look at than concrete , rows of parked cars and tall buildings . ",joy
"In 1960,  I was going to a school which was near my village and I met a lion on the way, which disappeared suddenly.",fear
 At least more than 100 years old . ,joy
 I 'm frightened for him . ,fear
 A-what ? ,neutral
"When I went home and there was nobody, I waited till 2 A.M and      still nobody.  I was suddenly scared and anxious as this had never happened before.  In addition my mother was very weak and I feared that she had met with an accident.  Therefore I was anxious  all night.",fear
"As a child, one evening I had read a novel about ghosts and I had thus spent a sleepless night as I kept feeling that there were ghosts dancing around me.",fear
When we were able to afford a new sofa - a leather one which cost SEK 20000.  I had waited for it for 2-3 years.,joy
"They played throughout the second half in peeved mood , allowing Blackburn to assume the dictating role with Gordon Cowans prompting from midfield and Speedie in predatory form up front . ",anger
 Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . ,joy
 Thanks ! We love it . ,anger
"In 1983, my results at the university entrance exam were very poor - far from what I had expected.   I thought that I would not be accepted at the university.",sadness
"While preparing my master's thesis, I was scared that I would not accomplish anything as the subject was rather difficult.",fear
 How come ? ,neutral
"Giving the mouse hand puppet a gravelly, Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins. #Laughter",fear
Brother provoked anger. It was when mother and father were away and we had to look after ourselves. He accused me of being selfish and a snob.,anger
 Why ? ,neutral
My teacher's death.,sadness
" Well , if I'm not living here anymore , then I won't have to listen to your rules . ",anger
I saw a lot of starving people in a T.V news report.,sadness
I had fear when I was left alone at the bus depot at night. I had problems of how to move to this place.,fear
I got angry with a stranger in a train who behaved impertinently and immorally,anger
"When, as a child, I was nearly knocked down by a car.",fear
"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times).",anger
 But how guilty to waste food ! ,anger
"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! ",fear
"When my best friend died, at the age of 16.",sadness
 Certainly . ,neutral
"Will Reseda riot after @NickJacksonYB and I win, tomorrow?  ",fear
"When I saw a car run over a child, out of carelessness.",anger
in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?,fear
 Shut up ! ,anger
When my father's new fiancee treats me like a child.  She does not trust me and constantly misunderstands me.  I get particularly angry when she says nasty things about my boyfriend with whom she works.,anger
The crowd was wild with excitement . ,joy
 Too bad . ,neutral
"Hi , Bob . ",neutral
 Apparently I was furious I had not been consulted ,anger
" Wow , a remote car model and my favorite brand . I really like it . That is so nice of you . ",joy
 She will be 86 next month . ,neutral
"When I had to move away from home to study, and I knew that I would not be coming back home for a long time.",sadness
"She jumped up , frowning in dismay . ",fear
"I was accused of a misdemeanour, unjustly.",anger
There was one other horrified observer of the scene . ,fear
"I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother.",anger
" Oh , Penny , I'm Leonard , glad to meet you . ",joy
Quarreling with classmates.,anger
" Too bad . But , is there any other leather store nearby ? ",sadness
"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)",fear
` You 're cross because I was honest when I spoke to you that night . ,anger
 Today . ,neutral
"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid.",fear
My own dismay at the way those kids were savaging the flora of Stonethwaite is a good example . ,fear
With a small sigh of exasperation she thrust her feet to the floor . ,anger
"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.",fear
 What is the difference ? ,neutral
When I was transferred from Chichiri Secondary School to St. Mary's Sec. School. I was happy at Chichiri as a day scholer and had made a lot of friends. I was going to a boarding and that meant parting with my friends as well as my boyfriend for the first time.,sadness
 I see . ,neutral
Unjust punishment of a friend of mine.,anger
A person whom I had not seen for a long time called me and invited me for a party.,joy
Yussuf had been quite inconsolable . ,sadness
When I dreamed that I was being attacked by a friend.,fear
Niggas Tryna Live Off Im Tryna Live Off #Respect Cuz Without It Don't Nobody Give A Fuck About You R/S,fear
 But the lessons this semester are a little bit hard . ,sadness
 like what ? ,neutral
 I don't like the way they sag down . I feel like I have plumber butt in them . ,neutral
 Congratulations ! Susan . I ’ m so happy for you . ,joy
 Smith . ,neutral
 My condolences . ,sadness
 Certainly.It matches your suit perfectly . ,joy
He dipped the cotton wool in the water and dabbed at the livid puffy eyes . ,anger
"A sunny Autumn day, after a long rainy period.",joy
" Really , Mary , you ’ re horrible . ",anger
I felt joy when I heard that I was accepted for the Free University in Driebergen.,joy
Leaving high school.,sadness
"If I mention our separate sleeping arrangements to friends , they are horrified . ",fear
A friend of mine could not make it back to university after having failed the exams.,sadness
" No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . ",neutral
The greatest cause of the Prince 's despondency had been the feeling that he served no useful purpose . ,sadness
"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . ",fear
Had an argument with my classmate for borrowed books.,anger
" Great , is it a two bedroom house ? ",joy
Hearing of the death of a friend who had been skiing.,sadness
 Yes . ,neutral
"Passing an examination, although I felt sure I had failed.",joy
When fired unjustly from a job as casual bar-person. Charged with giving away free drinks. Not done so and had witnesses to prove it - both patrons and bar staff. Other staff were supportive.,anger
 Totally not . Perhaps it's about our marriage . ,neutral
"I had made an appointment with three friends. We had to go out together. When I arrived at the place, the other persons weren't there. I became very angry because I thought they were gone without me. That, however, didn't appear to be the case.",anger
 Why can't I call the police now ? He was definitely following me ! ,fear
What do you plan to do for your birthday ? ,neutral
 Lucky her . ,neutral
After my girlfriend had taken her exam we went to her parent's place.,joy
" But what about parking ? You can't park on the street , can you ? ",anger
 I ’ d like to know why you ’ re always taking credit for work we ’ Ve done together like that line in the new Ice Cream ad ? ,anger
 That will be great ! Do you have LPs or Cds ? ,joy
" Yeah , that's it . ",neutral
"I came across a girl at the school bus-stop, I had seen her several friends as she was a friend's friend.  However my friend had never introduced me to her and when she got off the bus I smiled at her but she did not respond pretending not to have seen me.  Her arrogant behaviour made me sick and angry.",anger
" well , my boyfriend was supposed to call me last night , but he never did . ",anger
" Believe it or not , the company I worked for closed down , so I ’ m out of a job . ",sadness
My mother and my sister carried on picking at me all day long for no reason at all and I ended up getting angry.,anger
 Much better . My heart sank when Mary told me that she wanted to leave me . ,sadness
We were in the country and I walked away from the others one night.  Suddenly something moved sharply in front of me and I was not able to see what it was.,fear
"When I found out that the girl, with whom I was in love, loved me too.",joy
When my uncle died whom I had loved very much. I was very sad and I felt totally helpless.,sadness
But there is no doubt that some of these ideas are causing great disquiet among Branch Management and Staff . ,fear
"When I received the mark well above requirements for the course I wanted to enter, yet I was not accepted - anger at the injustice of it, because I didn't receive early release of H.S.C. marks.",anger
 OK . Do you want us to bring something ? ,joy
A cold draught of air was coming from the kitchen and I found the back door to be wide open -- and then my horrified glance fell upon Aunt Louise . ,fear
When I passed my MSCE Exams and was selected to go to college.,joy
I was river rafting in Nev. and our boat tipped over and I was sucked under in to some rocks and got stuck and all I could think was that I was going to die. And it was so quiet under the water it seemed like no one would care or remember.,fear
When I could not do anything because of a bad back.,sadness
"Thinking of the unknown, what happens at the moment of death, etc.",fear
 driving and sneezing on the highway,fear
" Yes , so I want to learn French to develop my career . ",neutral
"I was walking down a little village at night.  There was nobody in the steet.  A dog began to bark, I felt that it was following me.  Then I began to run, the other dogs started barking too.  At last I arrived home.",fear
I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. ,fear
" Well , my mum lost her job yesterday . ",sadness
Some folks r really mean 2 me. That doesn't scare me. What scares me is how ridiculous it became 2 suggest 2 pay for music  ,fear
 Banker ? ,neutral
Walking in the dark by myself.,fear
"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , he took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia .",anger
 Not at all . ,neutral
When I go out with my friend with enough money and good sense to our favorite dancing.,joy
My father died last year after an 8-week severe illness.,sadness
 Why ? ,neutral
"It was mid May 1985, When we had a Test on Nursing. My classmate had an answer sheet, so he tried to peep. The Nursing Tutor caught him. During this time I was turning my question paper and it made noise. This friend blamed me of causing the whole matter for him to be caught.",sadness
By now the priest was becoming exasperated with the child who in turn was becoming ever more stubborn by the minute . ,anger
 How come ? ,neutral
"When the guy I was in love with told me that he had met someone else and that we would not meet again for a year.  Although we did not have a steady relatioship, we were having an affair.",sadness
"When somebody broke into our home one night when my mother was out, and my sister and I had just gone to bed.",fear
"To have a friend who I didn't see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend.",joy
"Mention of the press 's glee at the humiliation of the investigators behind this summer 's high-profile surveillance project Operation Blackbird , who were fooled by an obvious hoax , brings out Tarr 's own nascent conspiracy theory . ",joy
What do you make of the case ? ,neutral
I was teaching someone to drive and when we were about to crash I was scared.,fear
Are you all right ? ,neutral
On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened.,fear
 Then shall we keep pure friendship ? ,sadness
My sippin and thuggin level is off the charts right now. Patrons at dawns are whispering about me. #nohope,fear
 The food wasn't all that exciting . ,sadness
But they are also nervous that the calculations they make in the next two weeks may determine who will win and lose the political battles of the next two years . ,fear
When I got through the first day here at the department.,joy
"` I am supposed to be going there with Sister Agape , but I 'd be pleased if you would take my place . ",joy
" well , I think I was being a little selfish myself . I know they don't get to see each other very often . ",sadness
When I couldn't go for a trip with my friends in a holiday.,sadness
"During a trivial (friendly) discussion, one of the participants made an intervention which made me feel uncomfortable.",anger
I ’ Ve had it ! I ’ m done working for a company that is taking me nowhere ! ,anger
It's silly how we things that #99% won't happen and doubt things that 99% will happen. #FML,fear
" To be honest , I was just dumped . ",sadness
"His face was completely serious , even slightly mournful . ",sadness
"Bob , I'm really upset with you . ",anger
"Clive also attended , visibly gleeful that he had spared the school any undesirable publicity by unloading me in the nick of time . ",joy
"@Rob0807 I mean, even Archie Manning said complimentary things about us! #gohogs",fear
When a girlfriend left me.,sadness
Gina bit her lip as her sister 's anguished sobs echoed over the line . ,sadness
